Puzzle,Solution
070000043040009610800634900094052000358460020000800530080070091902100005007040802,679518243543729618821634957794352186358461729216897534485276391962183475137945862
301086504046521070500000001400800002080347900009050038004090200008734090007208103,371986524846521379592473861463819752285347916719652438634195287128734695957268143
048301560360008090910670003020000935509010200670020010004002107090100008150834029,748391562365248791912675483421786935589413276673529814834962157296157348157834629
008317000004205109000040070327160904901450000045700800030001060872604000416070080,298317645764285139153946278327168954981453726645792813539821467872634591416579382
040890630000136820800740519000467052450020700267010000520003400010280970004050063,142895637975136824836742519398467152451328796267519348529673481613284975784951263
561092730020780090900005046600000427010070003073000819035900670700103080000000050,561492738324786195987315246659831427418279563273564819135928674746153982892647351
310450900072986143906010508639178020150090806004003700005731009701829350000645010,318457962572986143946312578639178425157294836284563791425731689761829354893645217
800134902041096080005070010008605000406310009023040860500709000010080040000401006,867134952241596783395872614978625431456318279123947865534769128619283547782451396
165293004000001632023060090009175000500900018002030049098000006000000950000429381,165293874974851632823764195489175263536942718712638549398517426241386957657429381
405001068073628500009003070240790030006102005950000021507064213080217050612300007,425971368173628594869543172241795836736182945958436721597864213384217659612359487
960405100020060504001703006100004000490130050002007601209006038070218905600079000,968425173723861594541793286157684329496132857832957641219546738374218965685379412
001408006093520741000010520602080300007060000005039060064052109020000654500607083,251478936893526741476913528642185397937264815185739462364852179728391654519647283
320090400705021800001060372218037009500480700000005000670000280000873900804000107,326798451745321896981564372218637549569482713437915628673149285152873964894256137
000030007480960501063570820009610203350097006000005094000000005804706910001040070,925831467487962531163574829749618253352497186618325794276189345834756912591243678
087002010204017003006800705508001000640008100002050670439180007020900030700023091,987532416254617983316849725578261349643798152192354678439185267821976534765423891
627140503345206971089503602000700364793054018460008059056031097971005836834067105,627149583345286971189573642518792364793654218462318759256831497971425836834967125
720890500390460100000217890809002000204008000105049287610000028080020915950701040,721893564398465172546217893869572431274138659135649287613954728487326915952781346
803700000026000004097100203705000908901070040038401567170950800680210435352846000,813724659526389174497165283745632918961578342238491567174953826689217435352846791
206007905345092018000850060000509000708000450004083126420060580571200094860000200,286317945345692718197854362612549873738126459954783126423961587571238694869475231
700000000400708061100296847000001400801000030090600075080010006007052394935467010,768145923429738561153296847576321489841579632392684175284913756617852394935467218
005000060000006302040081597012038754000200810087014000120007680000092030954860200,375429168891756342246381597612938754439275816587614923123547689768192435954863271
