Puzzle,Solution
040000008760020349000470500900000030000036702308947000000004010200700603690001000,149653278765128349832479561976512834451836792328947156583264917214795683697381425
620740100070100052508000370067300900090000060800970031002000006000800000450002003,623745198974138652518269374267381945391524867845976231782493516136857429459612783
080000090090502000003001408007090630000000001650020000900300080310040970002879013,586437192194582367723961458247198635839654721651723849975316284318245976462879513
070620509029400000680570000300000000806750093000086005000000170064030000005004032,471623589529418367683579421357942816846751293192386745938265174264137958715894632
000001000003006097061037500000709800830040001000020006740008610300060052000900003,287591364453286197961437528624719835839645271175823946742358619398164752516972483
000009038000005004350700091000400000407500020060020805500900006840001070036040009,674219538192385764358764291285436917417598623963127845521973486849651372736842159
010000608900000100706300000500743000000005400340091075003200091104000300069000050,412579638935486127786312549521743986697825413348691275853264791174958362269137854
000000145903405700005000900092070000031502000600008500080009357700800600006007090,278936145913485762465721983592674831831592476647318529184269357729853614356147298
002085700000607000000100000400001007267504000001000090518700430030010506900003001,142985763895637142673142985489361257267594318351278694518726439734819526926453871
098100063060040000702500010400058030015000080306010000600005040927000300000206007,598127463163849725742563918479658231215374689386912574631795842927481356854236197
300200070061008020008400000000700350030010290902036000003000008507009610100000900,359261874461978523278453169846792351735814296912536487693125748587349612124687935
000002534000010280200034000020000740906000300140203000708000001300009600460070803,671892534534617289289534176823961745956748312147253968798326451315489627462175893
250400000300000054100000006000803009030000040090570020001030690003005082020069010,256497138379681254184352976417823569532916847698574321741238695963145782825769413
500081607000500900097060200001056000000000870004000000000308502200040760700002103,542981637683527914197463285371856429965234871824719356416378592239145768758692143
306700451000201006700000002290140005801000000435000109670000000043000900500003060,326789451954231876718456392297148635861395247435672189679824513143567928582913764
020090004641000037070000002500040021030780509006003000000000410000030096460200075,325197684641852937879364152587946321234781569196523748952678413718435296463219875
670000040300000000001065000807300090460000030009478201100000023706080054000910700,678132549325749618941865372817326495462591837539478261184657923796283154253914786
008009000502700090300040000000600054250007130091800000020004010800902700600000049,148259376562783491379146582783621954256497138491835627927564813834912765615378249
630502100400000736900070405290800004001000200500200003109005870000000000050029000,637542198425198736918673425296837514381954267574216983149365872762481359853729641
000058000063000289200030107007600400840012090000000700602001904930000072000000015,719258346563147289284936157397685421846712593125493768652871934931564872478329615
028010703006040000000008000280500104000800200640002000907000501100309020002071000,428915763516743982379628415283567194791834256645192378937286541164359827852471639
080020306071006000300000000804050000000004205052100647509800700603000000048302090,485729316271436958396518472864257139137694285952183647529841763613975824748362591
860309000000820090004050083158000000009000002000703005620001900907005004081000000,862349751513827496794156283158264379379518642246793815625471938937685124481932567
000070024000409050000100800080040912100000003090500070620000005070000061340080090,936875124218439756754162839583746912167928543492513678621397485879254361345681297
005903080090000005012700000500310400470800900008000001000070504200496000104500029,645923187793681245812754396526319478471865932938247651389172564257496813164538729
400900003000006001000072500700600000039008150180090000670180090391050004002009700,468915273527836941913472568754621839239748156186593427675184392391257684842369715
064083070827000006000602000200100900908420000510097000080060304000000020090005001,164583279827914536359672418243158967978426153516397842785261394631849725492735681
