Puzzle,Solution
000003610000015007000008090086000700030800100500120309005060904060900530403701008,728493615349615827651278493186539742932847156574126389815362974267984531493751268
904520070001890240002643000070960380000108700600000010090080000000750030000312569,984521673361897245752643891175964382429138756638275914593486127216759438847312569
007300054245080900003040070070960000000020760000801002008294016609108020000007003,867319254245786931913542678472963185381425769596871342738294516659138427124657893
005346170000000050000800009502930741070000003000700020090050632207600400600420007,925346178786291354341875269562938741174562983839714526498157632217683495653429817
007009050040000930059740080000016790083000002710000000830060020000395018605020070,367289451248651937159743286524816793983574162716932845831467529472395618695128374
900000002010060390083900100804095007130670049060041000302010050000500000541080030,956134782417268395283957164824395617135672849769841523372416958698523471541789236
709000100421000050300700008100000302908320000002070809070530400090000675000600093,789256134421893756365714928157968342948321567632475819276539481893142675514687293
600017400401003008059800721120000050000040800008020100004530007700090086263170000,682917435471253968359864721127389654536741892948625173894536217715492386263178549
800005047040008500000000630000000490590040002072006305980000273067804051030070000,829365147643718529751492638318527496596143782472986315984651273267834951135279864
400000070060850240000301065049078500007032008280009430120703004700010000006200009,415926873963857241872341965349178526657432198281569437128793654794615382536284719
500000260024086000807152300000600703003400006700098120030800600072000481000070000,519734268324986517867152349481625793293417856756398124135849672972563481648271935
000000065004056701070813940006005490500690000009042000062504179000000030000000628,198427365234956781675813942826175493543698217719342856362584179987261534451739628
870500060010000207640180509000001000120006075008072006000605008000004000904008621,879523164315469287642187539467851392123946875598372416231695748786214953954738621
604300090210079064905014270450003900000001000008000000032700080890206010506000000,674382591213579864985614273451863927769421358328957146132745689897236415546198732
100000809950018000300000076580906000003500000204700560000000081600004003830169045,146327859957618432328495176581946327763582914294731568479253681615874293832169745
000000000084500970291000008809100500753942060010000000002714000370080400100035700,537896142684521973291473658829167534753942861416358297962714385375289416148635729
690538072080000600030907085040000900006029051000751800904000010008610090003000740,691538472587142639432967185145386927876429351329751864964273518758614293213895746
000000840090207100017568903700000600040602000003000002030850271900036500001700006,256391847398247165417568923729413658145682739863975412634859271972136584581724396
000000048300100720840000003003002006017060200620580304000013402100600890004857001,971236548356148729842795163583472916417369285629581374768913452135624897294857631
000050780000600010090020603100400000054260090007030001582910370000002500003000129,236159784875643912491728653168497235354261897927835461582914376619372548743586129
750314600830006001010000407507208000400000059000950084300000070081000003002001800,759314628834726591216895437597248316428163759163957284345689172681572943972431865
000070060200486010080032000400800030000047002600213740831054000527000000960020570,143579268259486317786132954472895136315647892698213745831754629527961483964328571
000534007000297500020016004000008000058409070000000600500000010900641850183700946,869534127431297568725816394697128435358469271214375689546983712972641853183752946
050600041003045600960800300600000100007008204402000003029500036006024510000000802,258693741173245698964817325695432187317958264482176953729581436836724519541369872
000090015000100840050380207000530000000602431012009500028003004037000002400050083,284796315673125849951384267746531928895672431312849576128963754537418692469257183
092405000007000250010800000746000309009060802100009067901030000600080900084590001,392475186867913254415826793746258319539761842128349567951632478673184925284597631
600083570300700900000069030000001008100630400503090010840302009032040085000058000,619283574384715926257469831476521398198637452523894617845372169932146785761958243
190406300523090700060300000000140257300560000040700600009000000401008902000007036,198476325523891764764325198986143257317562849245789613679234581431658972852917436
159080070240790001000000004300008000080070143092000005900100460507840300001007050,159384276246795831873216594314568729685972143792431685928153467567849312431627958
036704100007632000094500000000100034069807512000053000920000006050208001470300050,836794125517632849294581763785126934369847512142953687928415376653278491471369258
360000209800309005090012076000000002080090610603041800026580031100000000500020908,361457289872369145495812376719638452284795613653241897926584731138976524547123968
090060085180002369360900000050040008000009004074200050000736590700000000509000073,497361285185472369362958417953647128621589734874213956248736591736195842519824673
603000002709400300000000940210050890308027654060800701804001000500009438000300010,643985172759412386182736945217654893398127654465893721834571269571269438926348517
300007000009006710600004359702010098530409007001000000168000200900030580050000971,325197864489356712617824359742513698536489127891762435168975243974231586253648971
010000340920683050030714000052060001000001003000400079186592000049130006000046000,617925348924683157835714692752369481498271563361458279186592734549137826273846915
008603019305200000000007603501000000604000080890400052000750001000002004402006735,278643519365219478149587623521378946634925187897461352983754261756132894412896735
000000094041003000920060030030059006100200749298004300060300002002096150000042000,387521694641983527925467831734159286156238749298674315869315472472896153513742968
360400050401600070000057004030024019000009006010000023006008237290040601000000090,367481952451692378829357164635824719782139546914576823546918237293745681178263495
000003090010200700700000030090028047400190026120000589082000000900012654001006270,254763891813249765769581432395628147478195326126374589682457913937812654541936278
804005109090060074007100560400900800059080640010000032000000080030500016005070093,864735129591862374327149568473926851259381647618457932946213785732598416185674293
100700005470028060285003090002000034004060700300250016000000000020400371741900000,163749285479528163285613497612897534854361729397254816538176942926485371741932658
613040027000000000094000065200000030009607054000009600706300010000500006082164570,613845927527916348894723165268451739139687254475239681756398412341572896982164573
080500000016700005000000709109073408005829070078100030002005107000007080001068593,987541326316792845254386719129673458435829671678154932892435167563917284741268593
